"Parks","km","Photos","Photos_per","Photos_km","Users","Users_per","Users_km"
"Biosfera Val Müstair",368.97,15683,22.537,42.5,944,18.723,2.56
"Jurapark Aargau",299.05,7180,10.318,24.01,540,10.71,1.81
"Landschaftspark Binntal",164.78,6705,9.635,40.69,435,8.628,2.64
"Naturpark Beverin",515.11,4922,7.073,9.56,406,8.052,0.79
"Naturpark Diemtigtal",135.5,4854,6.975,35.82,348,6.902,2.57
"Naturpark Gantrisch",405.68,4441,6.382,10.95,306,6.069,0.75
"Naturpark Pfyn-Finges",276.51,4299,6.178,15.55,272,5.395,0.98
"Naturpark Thal",139.39,3738,5.372,26.82,269,5.335,1.93
"Parc du Doubs",293.65,3389,4.87,11.54,268,5.315,0.91
"Parc Ela",657.82,2414,3.469,3.67,217,4.304,0.33
"Parc Jura vaudois",530.62,2399,3.447,4.52,204,4.046,0.38
"Parc naturel périurbain du Jorat",9.38,2275,3.269,242.54,190,3.768,20.26
"Parc naturel régional de la Vallée du Trient",206.92,1787,2.568,8.64,119,2.36,0.58
"Parc naturel régional Gruyère Pays-d’Enhaut",632.1,1542,2.216,2.44,115,2.281,0.18
"Parc régional Chasseral",473.3,1154,1.658,2.44,107,2.122,0.23
"Parco Val Calanca",120.49,947,1.361,7.86,105,2.083,0.87
"Regionaler Naturpark Schaffhausen",213.03,753,1.082,3.53,67,1.329,0.31
"Schweizerischer Nationalpark",170.33,434,0.624,2.55,54,1.071,0.32
"UNESCO Biosphäre Entlebuch",394.49,352,0.506,0.89,44,0.873,0.11
"Wildnispark Zürich Sihlwald",10.98,320,0.46,29.14,32,0.635,2.91
