"PARK","Building area","Traffic and transportation surface","Special settlement areas","Recreation and green spaces","Fruit growing, viticulture, horticulture","Arable and Forage Cultivation","Alpine farming","Forest","Lakes and rivers","Unproductives"
"Biosfera Val Müstair",62,53,6,33,3,68,109,84,17,98
"Jurapark Aargau",119,97,20,24,25,146,NA,85,38,7
"Landschaftspark Binntal",29,23,4,1,NA,46,19,39,30,31
"Naturpark Beverin",75,101,9,10,7,111,100,164,97,118
"Naturpark Diemtigtal",15,9,1,NA,2,20,34,30,12,22
"Naturpark Gantrisch",78,64,2,16,10,145,79,95,97,34
"Naturpark Pfyn-Finges",112,55,18,24,25,72,95,71,51,148
"Naturpark Thal",29,33,3,5,1,55,54,68,3,12
"Parc du Doubs",133,80,10,17,8,112,70,143,112,30
"Parc Ela",175,213,49,27,3,205,178,296,93,159
"Parc Jura vaudois",172,125,27,68,10,168,203,182,99,42
"Parc naturel périurbain du Jorat",3,5,1,2,NA,17,NA,34,7,NA
"Parc naturel régional de la Vallée du Trient",107,102,37,13,26,63,96,195,80,249
"Parc naturel régional Gruyère Pays-d’Enhaut",717,312,23,131,135,406,368,404,81,208
"Parc régional Chasseral",121,121,18,31,36,144,160,133,5,14
"Parco Val Calanca",7,4,1,NA,1,11,8,19,4,14
"Regionaler Naturpark Schaffhausen",31,33,8,5,14,58,6,69,26,4
"Schweizerischer Nationalpark",1,NA,NA,4,NA,NA,1,64,17,73
"UNESCO Biosphäre Entlebuch",37,36,5,6,2,73,67,56,15,79
"Wildnispark Zürich Sihlwald",5,15,NA,NA,NA,13,NA,42,11,5
